priority,rule_id,domain,category,executable,immutable,severity,status,trigger_en,trigger_expr,action_en,agronomic_basis,yield_impact,confidence,source_tier,recoverability,source_class,references,review_outcome,reviewer,review_date,review_comment_mr
P2,D07-CY-WX-001,D07,CY,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Forecast 24h rainfall at or above 75 mm OR wind gust at or above 40 km/h,rainfall_24h_mm >= 75 OR wind_gust_kmph >= 40,"Raise a severe-weather advisory (weather_stress_risk = HIGH): stop drip, clear drainage channels, secure staking and shade, and delay any spray. Check saturation within 12 hours of the rain stopping. This is an operational risk trigger, not an official IMD warning.","A custom operational trigger for severe weather. 75 mm sits in the lower part of the IMD Heavy Rainfall band (64.5-115.5 mm) and 40 km/h is below the IMD severe-thunderstorm gust band (62-87 km/h); neither is an IMD crop-loss threshold, so this is an Agro-Guardian operational risk flag for lodging, canopy damage, drainage stress and spray timing, not a claim of an official warning.",Framing/operational; the yield cost of the underlying saturation or lodging is carried by the Domain 3 and Domain 6 rules it feeds.,0.7,C,none,EST,AGRONOMY_SIGNOFF 2026-09-21 sections 7-8 | IMD rainfall and thunderstorm classification,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,AGRO_GUARDIAN_CUSTOM (L4) threshold — architecture बरोबर आहे पण Season 1 field data / institutional (ICAR/VNMKV/IMD) source ने calibrate होणे आवश्यक. CONDITIONAL.
P2,D07-HU-001,D07,HU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,rh_pct above 85 for three consecutive days AND month is August or September,"DURATION(rh_pct > 85) > 72 HOURS AND MONTH IN [AUG, SEP]",Trigger the soil-borne disease protocol. August is the highest humidity month here and it coincides with the soft rot peak.,August records the highest relative humidity in this district and soft rot peaks in August and September. The coincidence is causal rather than accidental â€” high humidity is one of the conditions the pathogen requires.,Feeds the 0.70 soft rot pathway.,0.82,A,partial,SRC-D,climate-data.org humidity | Agrowon - Mali and Mahajan disease timing,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,AGRO_GUARDIAN_CUSTOM (L4) threshold — architecture बरोबर आहे पण Season 1 field data / institutional (ICAR/VNMKV/IMD) source ने calibrate होणे आवश्यक. CONDITIONAL.
P2,D07-HU-002,D07,HU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Estimated leaf_wetness_hours above 8 for two consecutive days AND month between December and February,"leaf_wetness_hours > 8 AND MONTH IN [DEC, JAN, FEB]","Trigger the foliar disease schedule. This is the second disease season, driven by winter fog rather than by soil saturation.","Leaf spot and blotch depend on the duration of surface wetness, and the source's fog rule is a qualitative version of the same relationship. Leaf wetness must be estimated from humidity, temperature and dew point because no dedicated sensor is fitted.",Leaf spot carries roughly 0.08.,0.7,B,partial,EST,Agrowon - Mali and Mahajan fog rule | Core C3.2 derived variables,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,"Confidence 0.70 — architectural intent OK, पण source / local validation पूर्ण होईपर्यंत CONDITIONAL. Season 1 data नंतर confidence upgrade करावी."
P2,D07-HU-003,D07,HU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,rh_pct above 80 for three consecutive days AND cloudy AND month between July and October,"DURATION(rh_pct > 80) > 72 HOURS AND MONTH IN [JUL, AUG, SEP, OCT]",Issue a pest pressure alert and double the scouting frequency. Do not spray on this signal alone.,"The source names high humidity, cloudy weather and lower temperature as the combination under which pests and diseases appear during the monsoon. All three are measurable at the cluster station, so the pressure can be anticipated rather than discovered.","Enables action before symptoms, when control is cheapest and most effective.",0.75,A,full,SRC-D,Agrowon - Mali and Mahajan weather statement,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,AGRO_GUARDIAN_CUSTOM (L4) threshold — architecture बरोबर आहे पण Season 1 field data / institutional (ICAR/VNMKV/IMD) source ने calibrate होणे आवश्यक. CONDITIONAL.
P2,D07-MO-001,D07,MO,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Month is May or early June AND planting has not occurred,"MONTH IN [MAY, JUN] AND days_to_planting BETWEEN 1 AND 20","Warn that ginger timing is the opposite of other kharif crops. Cotton, soybean and tur are sown after the monsoon establishes, typically in early July. Ginger must be planted before it arrives, and 7 June is the deadline.","The monsoon normally covers most of Maharashtra by 10 June, three days after the ginger deadline. A farmer whose habit is to wait for rain will therefore miss the window every time, and late planting causes severe rhizome fly and soft rot.",Prevents the 0.20 late planting loss by acting before the deadline rather than reporting it afterwards.,0.85,A,none,SRC-Q,ICAR-CRIDA monsoon coverage | Agrowon - Dr. Kadam planting window,COMPLIANT,Kuldip — Agronomy Compliance Owner,2026-09-22,"Agronomic basis आणि Kannad local applicability दोन्ही तपासले. ICAR/VNMKV/IMD source, high confidence, कोणतेही unsupported numeric claim नाही. Production मध्ये source, version, execution logging कायम ठेवावे."
P2,D07-RF-003,D07,RF,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Seasonal water plan is being computed,rainfall_mm > 60,"Show the distribution, not only the total. Rainfall peaks in July at 195 to 217 mm while crop demand peaks in September and October. The two do not coincide, so October to February must come almost entirely from stored or pumped water.","Peak rainfall and peak demand are separated by two to three months. July rain is therefore mainly a drainage risk for ginger rather than a supply opportunity, while the late-season demand falls entirely on irrigation.",Frames the water source assessment that carries u = 0.30.,0.85,A,full,DERIVED,Government gazetteer monthly distribution | Domain 3 monthly water table,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D07-RF-004,D07,RF,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,rainfall_ytd_mm falls more than 25 percent below the expected accumulation for this date,rainfall_deviation_pct < -25 AND rainfall_ytd_mm IS NOT NULL,"Warn early that this is trending toward a poor year. Recommend reviewing water storage and, if the crop is not yet planted, reconsidering area.","A shortfall detected in July or August still leaves time to act on storage or area. The same shortfall discovered in November leaves no options, because the crop is committed and the demand peak has arrived.",Enables action while choices remain.,0.75,B,partial,EST,Domain 7 variability tiers | Domain 3 water budget,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D07-WS-004,D07,WS,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Station readings missing or implausible for more than 24 hours,station_data_age_hours > 24,"Fall back to the public forecast and the Domain 3 monthly table, mark all weather-dependent advisory as reduced confidence, and raise a maintenance alert.","One station serves five to ten farms, so a station failure degrades the whole cluster rather than one plot. The fallback must be automatic and visible rather than silent.",Prevents advisory being issued on stale or faulty data.,0.78,B,full,DERIVED,Core C10.4 plausibility gating | Domain 3 monthly table as fallback,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-BN-002,D08,BN,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap equals 75,dap BETWEEN 73 AND 77 AND earthing_up_date IS NULL,"Issue the bundle three preparation checklist a week ahead: labour confirmed, nitrogen ready, neem cake ready, mulch material on hand, long-handled khurpa available. Then plan reduced drip for three to five days afterwards.",Six operations in one day fail if any input is missing on the day. Preparation lead time converts a hard-deadline operation into a routine one.,"Protects u-values of 0.125 earthing up, 0.175 rhizome fly and 0.200 mulch simultaneously.",0.8,B,full,DERIVED,Domain 8 bundle definition | Core C7.1,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-CA-001,D08,CA,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Pre-season planning initiated,days_to_planting BETWEEN 85 AND 95,"Issue the operations calendar from day minus 90 to harvest, with priorities. The chain is tight and terminates at a hard deadline, so losing March compresses everything downstream.","Every step has a predecessor. March deep ploughing, April solarization, May bed forming and drip, planting by 7 June. The narrow vertisol working window and the fixed planting cut-off leave no slack.",Protects the 0.20 late planting value and the 0.167 layout value.,0.85,A,partial,DERIVED,Agrowon - Dr. Kadam sequence | Domain 2 land preparation calendar,COMPLIANT,Kuldip — Agronomy Compliance Owner,2026-09-22,"Agronomic basis आणि Kannad local applicability दोन्ही तपासले. ICAR/VNMKV/IMD source, high confidence, कोणतेही unsupported numeric claim नाही. Production मध्ये source, version, execution logging कायम ठेवावे."
P2,D08-EU-001,D08,EU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap between 75 and 90 AND earthing_up_date is empty,dap BETWEEN 75 AND 90 AND earthing_up_date IS NULL AND flowering_observed IS FALSE,"Carry out earthing up now with a long-handled khurpa. Bundle with weeding, covering exposed rhizomes, the final nitrogen split, neem cake and mulch stage two. Skipping earthing up costs 10 to 15 percent yield.","Moving the soil breaks old roots and new fibrous roots emerge in their place, and the soil becomes friable so the rhizome has room to expand laterally. It must precede the flowering spike, after which assimilate shifts from foliage to rhizome and there is no time to build new roots.",u = 0.125. Two institutional-grade sources agree on 10 to 15 percent; a third gives 15 to 20 percent and is not used.,0.88,A,none,SRC-Q,Agrowon - Dr. Kadam | AgroWorld earthing up description,COMPLIANT,Kuldip — Agronomy Compliance Owner,2026-09-22,"Agronomic basis आणि Kannad local applicability दोन्ही तपासले. ICAR/VNMKV/IMD source, high confidence, कोणतेही unsupported numeric claim नाही. Production मध्ये source, version, execution logging कायम ठेवावे."
P2,D08-EU-003,D08,EU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,earthing_up_date recorded AND water_stress_after_earthing_done is false,earthing_up_date IS NOT NULL AND water_stress_after_earthing_done IS FALSE,Reduce drip to about 60 percent for three to five days. A light water stress after earthing up produces stronger tillering.,"Both Maharashtra sources give this instruction. It is easily overlooked because it is an instruction to do less rather than more, and because it belongs to the water domain while the operation belongs to this one.","Affects tiller number, which sets rhizome count.",0.8,A,partial,SRC-Q,Agrowon - Dr. Kadam | AgroWorld,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-EU-004,D08,EU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap between 115 and 130 AND earthing_up_2_date is empty,dap BETWEEN 115 AND 130 AND earthing_up_2_date IS NULL AND earthing_up_date IS NOT NULL,"Carry out the second earthing up, about 40 days after the first. Bundle with the potassium split and mulch stage three. Minimum two earthing operations per season.","Source specifies a minimum of two earthing operations with the second about 40 days after the first. Rhizome expansion continues, so the soil covering has to be renewed and exposed rhizomes covered again.",Part of the 0.125 earthing up value and protects against rhizome fly re-exposure.,0.82,A,none,SRC-Q,Agrowon - Dr. Kadam second earthing,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-EU-005,D08,EU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Month is between July and September AND exposed_rhizomes_observed is true,"MONTH IN [JUL, AUG, SEP] AND exposed_rhizomes_observed IS TRUE","Cover exposed rhizomes with soil immediately, without waiting for the scheduled earthing up. Rhizome fly larvae enter through exposed rhizomes.","The source gives the explicit instruction to cover exposed rhizomes during July to September, which is the rhizome fly peak. Rhizome expansion and rainfall both push soil away from the crown, so exposure recurs between earthing operations.",Blocks the entry event for a pest carrying 0.175 that also opens the rot pathway.,0.88,A,partial,SRC-Q,Agrowon - Mali and Mahajan,COMPLIANT,Kuldip — Agronomy Compliance Owner,2026-09-22,"Agronomic basis आणि Kannad local applicability दोन्ही तपासले. ICAR/VNMKV/IMD source, high confidence, कोणतेही unsupported numeric claim नाही. Production मध्ये source, version, execution logging कायम ठेवावे."
P2,D08-GF-001,D08,GF,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap between 30 and 40 AND establishment_pct below 85,dap BETWEEN 33 AND 40 AND establishment_pct < 85,"Assess before acting. Above 85 percent, do not gap fill. Between 70 and 85 percent, gap filling up to 35 DAP is an economic decision. Below 70 percent, find the cause FIRST â€” if it is rot, gap filling wastes a second lot of the most expensive input.","No source gives a gap filling recommendation for ginger. Reasoning from the crop: emergence completes by 30 to 45 days, so plants set later never catch up, and establishment is a hard ceiling with no ratoon. If the cause is soft rot the replacement seed enters the same infested soil.",Prevents a second seed loss on top of the first.,0.65,B,partial,EST,absence of source | Domain 1 establishment ceiling | Domain 6 rot pathway,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Fixed 85% yield penalty local validation शिवाय unsupported. Mechanism ठेवावा; numeric penalty काढून CONDITIONAL — Season 1 field data नंतर calibrate करावा.
P2,D08-LB-001,D08,LB,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap equals 60 AND labour_arranged_date is empty,dap BETWEEN 58 AND 64 AND labour_arranged_date IS NULL,"Arrange labour for earthing up now. August is also cotton, soybean and tur intercultivation season, so labour becomes scarce exactly when earthing up has a hard deadline.",Earthing up falls at 75 to 90 DAP which is around August for a June planting. That coincides with intercultivation in the dominant local crops. Labour scarcity is the most likely reason the operation slips past the flowering deadline.,Protects the 0.125 earthing up value through a logistics reminder rather than an agronomic one.,0.75,B,full,EST,Core C7.3 labour feasibility | Domain 8 labour competition,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-MU-001,D08,MU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Planting completed AND mulch_stage_1_done is false,dap BETWEEN 0 AND 4 AND mulch_stage_1_done IS FALSE,"Apply mulch immediately, the same day. This is a precondition for emergence in this belt, not a moisture-saving improvement.",Germination needs a soil temperature of 25 to 26 C while May maxima here reach 45.9 C and bare black soil runs hotter than air. Mulch is the only practical way to bring the surface temperature into range. It also carries the largest documented disease benefit of any single operation.,"u = 0.20 across the full three-stage programme, with the disease effect being the largest component.",0.85,B,none,SRC-Q,Organic Mandya field records | Spices Board / TNAU | Domain 7 May temperatures,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,AGRO_GUARDIAN_CUSTOM (L4) threshold — architecture बरोबर आहे पण Season 1 field data / institutional (ICAR/VNMKV/IMD) source ने calibrate होणे आवश्यक. CONDITIONAL.
P2,D08-MU-002,D08,MU,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap in the 40 to 60 or 90 to 120 band AND the corresponding mulch stage not done,((dap BETWEEN 40 AND 60 AND mulch_stage_2_done IS FALSE) OR (dap BETWEEN 90 AND 120 AND mulch_stage_3_done IS FALSE)),Apply the next mulch stage. Bundle stage two with earthing up so both happen in one field visit.,"Two sources give different quantities but both specify three applications rather than one. Cumulative cover is what sustains the effect through the season, and stage two coincides naturally with earthing up.",Completes the 0.20 mulch programme.,0.78,B,partial,SRC-D,Organic Mandya three-stage programme | Spices Board / TNAU,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-WD-002,D08,WD,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap equals 11 AND herbicide_post_emergent_date is empty,dap BETWEEN 10 AND 13 AND herbicide_post_emergent_date IS NULL AND emergence_started IS FALSE,"Warn that the glyphosate window closes in three to four days, after which ginger begins to emerge and no herbicide can be used. Offer mulch as the alternative if the window is missed.","The window is defined at one end by planting and at the other by emergence, and the second application sits close to the closing edge. A three to four day warning is the practical lead time for arranging labour and spray.","Prevents a weed pressure problem that would otherwise force more weeding, and weeding injures the rhizome.",0.8,B,partial,DERIVED,AgroWorld schedule | Domain 8 window reasoning,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,Rule intent agronomically sound. Source tier आणि local validation gap लक्षात घेता CONDITIONAL — Season 1 field observation आणि source_tier upgrade नंतर COMPLIANT ला elevate होईल.
P2,D08-WD-003,D08,WD,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Manual weeding scheduled,dap BETWEEN 25 AND 60 AND weeding_count < 2,Instruct that the rhizome must not be injured. Keep the field weed free for the first four to six weeks; three to four weedings across the season depending on pressure.,"Injury during weeding allows Pythium and Fusarium to enter. Because heavy FYM raises weed pressure, ginger needs more weeding than most crops, which raises the injury exposure proportionally.",Prevents entry into the 0.50 to 0.90 rot pathway at zero cost.,0.85,A,none,SRC-Q,Agrowon - Mali and Mahajan injury route | Vikaspedia weeding schedule,COMPLIANT,Kuldip — Agronomy Compliance Owner,2026-09-22,"Agronomic basis आणि Kannad local applicability दोन्ही तपासले. ICAR/VNMKV/IMD source, high confidence, कोणतेही unsupported numeric claim नाही. Production मध्ये source, version, execution logging कायम ठेवावे."
P2,D09-DR-004,D09,DR,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,dap approximately 200,dap BETWEEN 195 AND 205 AND drying_space_ready IS FALSE,"Ask whether drying space and tarpaulin are ready. If the price crashes at harvest, drying is the fallback â€” and there will be no time to arrange it then.",Dry ginger is insurance against a price crash rather than a default route. Insurance has to be in place before the event. Arranging tarpaulin and space after prices fall means either selling at the crashed price or delaying while the produce deteriorates.,Preserves the option rather than the crop.,0.75,B,full,DERIVED,Domain 9 value addition framing | Domain 7 poor-year planning logic,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,Preparing drying space before expected harvest is a sound operational recommendation and does not assert a biological threshold.
P2,D09-GD-001,D09,GD,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,"Harvest preparation begins, about 30 days before expected harvest",days_to_harvest BETWEEN 25 AND 35,"State the grading spread plainly. A 2.7 times price difference was recorded within one market on one day, purely on quality. Washing and grading before sale is worth more than any yield improvement available this season.","Akola market recorded Rs 6,000 to Rs 16,000 per quintal on a 180 quintal arrival on a single day. Two of the seven grading determinants â€” skin condition and cleanliness with uniformity â€” sit entirely in this domain, and both are labour-only.","Not a yield factor. On 90 quintal at the two ends of that band the difference is roughly Rs 9 lakh, which exceeds every yield factor in the knowledge base combined.",0.82,B,full,SRC-Q,News18 Marathi APMC daily report 2026,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"A dated market-quality price spread can illustrate the value of grading, but a single-market single-day 2.7× spread must not be treated as a general expected premium. Keep as an example and show date/source."
P2,D09-GD-002,D09,GD,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Produce is being prepared for sale AND graded_separately is false,"graded_separately IS FALSE AND WITHIN(harvest_date, 7 DAYS)","Sort into grades and sell each grade separately. Sold together, the lower grade drags the whole consignment down to an average price.","The observed spread exists because buyers price on quality. A mixed lot is priced on its weakest visible fraction rather than on its average, so separation captures value that already exists in the crop.",Pure price effect. The cost is sorting labour.,0.8,B,full,DERIVED,News18 Marathi APMC spread observation,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Separating grades is agronomically/economically sensible, but the claim that mixed lots are always priced by their weakest fraction needs market evidence. Phrase as a market-dependent recommendation."
P2,D09-HV-001,D09,HV,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Harvest day,days_to_harvest BETWEEN 0 AND 3 AND skin_scrape_result == 'firmly_attached',"Issue the harvest sequence: cut foliage, lift without injury digging from the side of the bed rather than from above, separate mother rhizome from fingers, wash clean, drain in shade in a thin layer, then grade.",Each step protects the next. Injury during lifting becomes storage rot; unwashed produce loses grade and has soil deducted from weight; wet produce heaped rather than drained generates heat and moisture at the centre and begins to rot.,Protects realised value rather than weight.,0.8,C,partial,SRC-Q,AgroWorld harvest sequence,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Gentle lifting, washing, draining and grading are sound post-harvest practices. Exact sequence should follow the verified post-harvest package and local handling facilities."
P2,D09-MT-003,D09,MT,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,harvest_route is seed_rhizome AND early harvest is being considered,harvest_route == 'seed_rhizome' AND skin_scrape_result == 'peels_easily',REFUSE early harvest for the seed crop. Full maturity is mandatory. Immature rhizome does not survive storage and does not sprout the following season.,"Skin corking and dry matter accumulation complete only at full maturity, and both determine survival across the four to five month gap to next planting. Seed rhizome already loses 28 to 40 percent of its weight in storage; starting that clock with an immature rhizome worsens both the loss and the germination.","Affects next season, compounding into establishment loss and wasted seed cost.",0.85,A,none,SRC-D,Agrowon - Dr. Kadam | Domain 8 seed storage,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,Seed rhizomes should be physiologically mature and suitable for storage. Replace absolute 'full maturity mandatory' with variety-specific maturity plus skin/corking and storage-quality checks.
P2,D09-PH-001,D09,PH,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Harvest complete AND produce_washed is false,harvest_date IS NOT NULL AND produce_washed IS FALSE,"Wash the rhizomes clean and free of soil before sale. Soil-covered produce looks like a lower grade and the trader deducts the soil from the weight, so the loss falls twice.","The source instructs washing before dispatch. Cleanliness is one of the three grading determinants that remain in the farmer's hands at this point, and unwashed produce is penalised on both appearance and weight.",Directly affects realised price through the 2.7 times grading spread.,0.8,C,full,SRC-Q,AgroWorld post-harvest handling,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Cleaning/washing before sale can improve appearance, but washing should be followed by proper drainage/drying and must match the intended market and storage route."
P2,D09-ST-003,D09,ST,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Dry ginger stored AND moisture_pct_final above 10,drying_method IS NOT NULL AND moisture_pct_final > 10,"Do not store until moisture is down to 8 to 10 percent. Above that, mould develops and the whole lot is at risk.","Both drying methods specify 8 to 10 percent final moisture. Above that the product supports mould growth during storage, and a stored lot fails as a whole rather than partially.",Protects the entire processed output.,0.82,C,partial,SRC-Q,AgroWorld drying endpoint,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,"The 8–10% dry-ginger moisture endpoint is supported within the packet's cited drying guidance. Keep it as a storage-quality target, with actual moisture measurement."
P2,D09-WW-001,D09,WW,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,About 60 days to expected harvest AND water_withdrawal_start_date is empty,days_to_harvest BETWEEN 55 AND 62 AND water_withdrawal_start_date IS NULL,"Begin gradual water withdrawal. Reduce to about 80 percent at 45 days, 60 percent at 30 days, 30 percent at 15 days, and stop completely 7 days before harvest. This determines skin condition, which is a grading determinant.","Continued irrigation to harvest keeps the rhizome heavier but leaves the skin uncured, which lowers storability, lowers dry recovery and lowers grade. Withdrawal is what hardens the skin. The temptation to keep watering is strong because the crop looks heavier.","Does not change weight materially but strongly affects grade, and the observed grade spread is 2.7 times.",0.78,B,none,SRC-D,CropLibrary | Agrowon descending water table | Domain 9 grading determinants,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Gradual irrigation withdrawal before harvest is plausible, but the exact 80/60/30/stop schedule is not sufficiently supported as a universal ginger schedule. Make it variety/soil/weather dependent."
P2,D09-WW-002,D09,WW,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,soil_texture_class is heavy AND water withdrawal in progress,water_withdrawal_start_date IS NOT NULL AND soil_texture_class == 'heavy',"Make the taper slower than the standard schedule. Abrupt drying cracks black soil, which makes lifting difficult and injures the rhizomes â€” and harvest injury becomes storage rot.","Vertisol shrinks and cracks on drying. Harvest injury is the documented entry route for storage rot, and by harvest the entire season's cost is committed, so a loss at this point is the most expensive kind.",Acts on post-harvest loss rather than field yield.,0.72,B,none,EST,Domain 2 vertisol behaviour | Domain 6 handling and storage rot,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Slower withdrawal on heavy/Vertisol soil is a reasonable field-management principle. The exact taper must be determined from soil moisture, drainage and harvest conditions rather than a fixed schedule."
P2,D09-YD-001,D09,YD,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Harvest complete,harvest_date IS NOT NULL AND yield_quintal_per_acre_actual IS NULL,"Record actual yield in quintal per acre, the grade split, and the rot and wilt incidence. These are the inputs that let Domain 11 correct its estimated u-values against reality.",Twenty-two of the thirty u-values in Domain 11 are estimates. They can only become measurements through recorded harvest outcomes matched against the season's operation record.,None this season. Foundational for every following season.,0.85,A,full,DERIVED,Domain 11 gap attribution | Domain 12 minimum record set,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,"Recording actual yield, grade split and disease incidence is essential for closing the agronomic learning loop and correcting estimated model coefficients."
P2,D10-INS-001,D10,INS,yes,no,yellow,PHASE_1_RAW_UNVALIDATED,Pre-season planning AND pmfby_notified_for_ginger is unverified,days_to_planting BETWEEN 40 AND 60 AND pmfby_notified_for_ginger == 'unverified',"Check with the District Superintending Agriculture Officer whether ginger is a notified crop under PMFBY for this district, and if not whether the restructured weather-based horticulture insurance applies. The kharif deadline of around 31 July fits a 7 June planting.","Investment is about Rs 1.45 lakh per acre over eight months and the main risks â€” water exhaustion, soft rot and price collapse â€” are all capable of taking most of the crop. For an exposure this size the insurance question is decisive rather than incidental.",None on yield. Changes the risk profile of the whole enterprise.,0.7,B,full,VERIFY,Domain 13 investment figure | PMFBY notification framework,CONDITIONAL,Kuldip — Agronomy Compliance Owner,2026-09-22,"Confidence 0.70 — architectural intent OK, पण source / local validation पूर्ण होईपर्यंत CONDITIONAL. Season 1 data नंतर confidence upgrade करावी."
P2,D14-LT-002,D14,LT,yes,no,yellow,AUTHOR_DRAFT,CWSI is above 0.60 AND sub-node moisture reads adequate AND advisory confidence is at least 0.5,"cwsi > 0.60 AND sub_node_moisture_status == 'adequate' AND sat_advisory_confidence >= 0.5 AND STAGE IN [G2, G3, G4]","Open non-water investigation, same branch as NM-002. If NM-002 has already opened one for this plot in the last 5 days, do NOT open a second â€” link the CWSI evidence to the existing task.",CWSI > 0.6 with wet soil is thermodynamically strong evidence of non-water stress. Section 10 case A confirmed thermally.,Under NM-002 investigation grouping.,0.72,B,same_season,EST,"Idso et al. 1981 | RAW MASTER Â§7.3, Â§7.5, Â§10.2 case A",CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"CWSI can indicate plant water stress, and adequate soil moisture supports investigation of non-water causes. The >0.60 threshold and wet/dry baselines are author-estimated; calibrate locally before production severity escalation."
P2,D14-NM-002,D14,NM,yes,no,yellow,AUTHOR_DRAFT,NDMI has dropped 0.10 or more over 10 days AND sub-node moisture reads adequate AND advisory confidence is at least 0.5,"ndmi_delta_10d <= -0.10 AND sub_node_moisture_status == 'adequate' AND sat_advisory_confidence >= 0.5 AND STAGE IN [G2, G3, G4]",Open a plot-specific investigation. Likely non-water causes: (1) drip line partly blocked or emitter uneven â€” check flow at 3 points; (2) pest â€” check root and stem base; (3) root damage from tillage. Do NOT increase irrigation on this signal alone.,NDMI drop with adequate root-zone moisture is definitionally not a water shortage. The signal is real but the cause is something else â€” Section 10 case A.,Investigation_dispatched.,0.72,B,same_season,DERIVED,"RAW MASTER Â§7.5, Â§10.2 case A",CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"NDMI decline with adequate root-zone moisture is a useful anomaly signal, but the -0.10/10-day threshold is not locally validated. Keep as investigation-only."
